image_filename,reference
10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug. A man is wearing a ball cap and holding a coffee cup between to urinals. A man is posing next to a urinal with a cup of coffee. A man holds a coffee cup while in the bathroom. A man standing at a urinal with a coffee cup.
100845130.jpg,Five people walking with a multicolored sky in the background. Four people walking through the sunset in clear blue skies. Four people walking with the sun setting behind them. Four silhouettes decorate the horizon's sunset. A group of people walking as the sun sets.
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer. A man is sitting at a table with a drink. A man is sitting at a table with a beer. A dark-haired man sitting drinking. A old man having a beer alone.
1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence. A Boston Terrier is running on lush green grass in front of a white fence. A black and white dog is running through the grass. A dog runs on the green grass near a wooden fence. A Boston terrier is running in the grass.
1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog. A trained police dog sits next to his handler in front of the police van. A security man with his watch dog is looking for something. A policeman is standing with a German Shepherd dog. A policeman stops on a street with a search dog.
101001624.jpg,"The ""white out"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood. A young boy rides a bike down a snow covered road. A boy in the snow riding his bike down the street. A person riding a bike on a snowy road. A person riding a bike in snow."
1010031975.jpg,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van. Small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking. Five men in white short-sleeved shirts and ties stand in a parking lot. A group of men wearing ties talk while standing on the street. Colleges stop to take a break from there business meetings."
1010087179.jpg,A tan man with a backwards hat looks at the camera while walking through a factory. Older man working in a factory not looking too excited about the photograph. A man in a white shirt and black camp among many machines. A man with a backwards hat works on machinery. A man wearing a backwards cap at work.
1010087623.jpg,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor. A black woman and a white man working in a factory setting packing jars with candles into boxes. A woman is sorting white tall candles as a man in a green shirt stands behind her. A warehouse manager assisting an employee. Two people working on an assembly line.
10101477.jpg,"Man wearing a blue and white outfit, holding a broom, with a traditional Asian architecture in the background. A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement. A man in a white and blue kimono is using a broom to sweep pavement. Man sweeping the street outside. Asian man sweeping the walkway."
1010470346.jpg,"Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by A man leans into a car to talk to the driver, as a man on a bicycle looks on. A man on a bicycle watching a row of cars waiting to go through a checkpoint. A park ranger talking to a tourist. Two cars are parked outside."
1010673430.jpg,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass. Two young children eating a snack and playing in the grass. Two young toddlers outside on the grass. Two infants are at play in the yard. 2 female babies eating chips.
101093029.jpg,A person in tan pants is inside a silver mobile object while people watch. People are watching a person in a weird vehicle in a plaza. A man in a blue shirt driving a Segway type vehicle. A showing of product to advertise A crowd admiring modern art?
101093045.jpg,"A man in black approaches a strange silver object containing a person, while many onlookers observe from behind a roped off barrier. A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches. A person riding in a futuristic single-person vehicle. Man walking up to silver 4-wheeled chair A man walks by a silver vehicle."
1011572216.jpg,Bride and groom walking side by side out of focus on pathway next to brick building. A beautiful bride walking on a sidewalk with her new husband. A recently married couple pose for the camera. A groom and bride are standing arm in arm. A couple getting married.
1012150929.jpg,A little boy plays with a Nintendo GameCube controller inside a McDonald's. A young boy plays a video game in a McDonald's restaurant. A young boy plays with a GameCube kiosk at McDonald's. A little boy playing GameCube at a McDonald's. A little kid playing GameCube at McDonald's.
1012212859.jpg,"White dog with brown ears standing near water with head turned to one side. Dog with orange ball at feet, stands on shore shaking off water A white dog shakes on the edge of a beach with an orange ball. White dog playing with a red ball on the shore near the water. A dog shakes its head near the shore, a red ball next to it."
1012328893.jpg,A group of people picnicking at picnic tables in front of a playground. A group of people enjoying a beautiful day in the park. A group of people are having a picnic at the park. The reunion is in full swing with a moon bounce. A group of people having a barbecue at a park.
101262930.jpg,"Two asian or spanish people, a woman and a man, sitting together in front of a glass window as cars pass. A man in sunglasses puts his arm around a woman in a black and white blouse. A man in sunglasses puts his arm around a woman. A man and woman pose in front of some traffic. An Asian couple sitting on the bench."
1013536888.jpg,"Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background. An elderly woman is eating a burger while the man next to her touching his hat. A man with a balloon hat and people eating outdoors at picnic tables. Two older women sit at a table with two coolers in front of them. A gray-haired person with glasses enjoys a sandwich."
101362133.jpg,A young female student performing a downward kick to break a board held by her Karate instructor. Girl about to kick a piece of wood in half while karate instructor holds it A girl kicking a stick that a man is holding in tae kwon do class. A girl in karate uniform breaking a stick with a front kick. A girl breaking boards by using karate.
101362650.jpg,Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat. A boy jump kicking over three kids kicking wood during a tae kwon do competition. A boy jumps over three other students in a martial arts demonstration. A crowd is watching a group of five martial artists perform. A crowd of people watch a martial arts demonstration.
1014609273.jpg,People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him. A kid in a red sweatshirt is reaching to hand something to a man in a white shirt A young boy empties a bottle over the railing of a balcony unto the man below. A boy in a red jacket pouring water on a man in a white shirt A young man pouring the contents of a bottle.
101471792.jpg,A man with a red jacket is shielding himself from the sun trying to read a piece of paper. A man wearing a red coat is outside with his hand over his head to block out the sun. A man in a red jacket shades the sun from his eyes on a busy street. An elderly man in a red jacket shielding his face from the sun. Man in red jacket shielding face from the sun to read.
1014785440.jpg,"Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood. Two men, each with a small child on their backs, walk on a paved road. Two men are out for a stroll with their two young children. Men walking down a street with children. Two men walking with children."
1015118661.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him. A little boy is standing on the street while a man in overalls is working on a stone wall. A young child is walking on a stone paved street with a metal pole and a man behind him. A boy smiles in front of a stony wall in a city. A young boy runs aross the street.
1015584366.jpg,A mottled black and gray dog in a blue collar jumping over a fallen tree. A gray dog is leaping over a fallen tree. A large black dog leaps a fallen log. The black dog jumped the tree stump. A black dog leaps over a log.
101559400.jpg,"Men in the business suits are crossing the street, and there are people with placards are gathering on the street. A man in a suit runs across an intersection while a large group of people assembles. A man in a suit is running past two other gentleman, also dressed in a suit. A man in a suit is hurrying across the street. A man in a suit is running across the street."
1015712668.jpg,A man in a red long-sleeved shirt bikes over a body of water on a bridge. A man riding his bike across the bridge that is over the river. A man in red on a bicycle rides past a glass structure. Man in a red shirt riding his bicycle around water. A man in a red shirt rides his bicycle.
10160966.jpg,"A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup. A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it. A young man in sunglasses holds a blue cup next to a grill with sausages. A young man, wearing a white shirt, prepares hotdogs on a small grill. A man is holding his cup while he grills hotdogs."
101654506.jpg,The white and brown dog is running over the surface of the snow. A white and brown dog is running through a snow covered field. A brown and white dog is running through the snow. A dog running through snow. A dog is running in the snow
1016626169.jpg,Man on scooter attracts attention from some of those in large crowd. A crowd is standing and waiting for the green light. People stop and look at an older woman outside. A crowd of people waiting to cross a street. A crowd of people waiting for the light.
101669240.jpg,A person wearing skis looking at framed pictures set up in the snow. A man in a hat is displaying pictures next to a skier in a blue hat. A man skis past another man displaying paintings in the snow. A skier looks at framed pictures in the snow next to trees. Man on skis looking at artwork for sale in the snow
1016887272.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line. Seven climbers are ascending a rock face whilst another man stands holding the rope. A group of people are rock climbing on a rock climbing wall. A group of people climbing a rock while one man belays A collage of one person climbing a cliff.
1017675163.jpg,"A young gymnast, jumps high in the air, while performing on a balance beam. A woman wearing an orange leotard doing gymnastics in front of an audience. A gymnast performing on the balance beam in front of an audience. The young gymnast's supple body soars above the balance beam. A gymnast is performing on the balance beam."
1018057225.jpg,A boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool. A young boy is pushing a toy ATV around a rubber pool A boy pushing a red toy atv next to a pool A boy pushing a miniature car on a lawn. A young boy pushing his toy quad.
1018148011.jpg,A group of people stand in the back of a truck filled with cotton. Men are standing on and about a truck carrying a white substance. A group of people are standing on a pile of wool in a truck. A group of men are loading cotton onto a truck Workers load sheared wool onto a truck.
101859883.jpg,A woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck. A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope. Woman in red windbreaker looking though a rooftop binoculars at the city below. A woman in a headscarf uses a telescope to look out over the city and bay. A Woman is looking through a telescope while wearing a red coat.
10188041.jpg,A man in a black coat walks past a red spaceship with a parking ticket stuck to its window. A man is standing in front of a small red object that looks like a plane. A man wearing a black jacket is walking towards the street. A man in a black jacket is moving towards a street. Man in black coat examining airplane nose.
1019077836.jpg,Large brown dog running away from the sprinkler in the grass. A brown dog chases the water from a sprinkler on a lawn. A brown dog running on a lawn near a garden hose A brown dog plays with the hose. A dog is playing with a hose.
101958970.jpg,A man and a little girl happily posing in front of their cart in a supermarket. A man sitting with his daughter in his daughter's pink car in a grocery store. A man is sitting on a pink cart with a little girl in the grocery store. A man with his daughter sitting on a stroller in a supermarket. The little girl and the man are smiling.
1019604187.jpg,A dog prepares to catch a thrown object in a field with nearby cars. A white dog is ready to catch a yellow ball flying through the air. A white dog is about to catch a yellow ball in its mouth. A white dog is about to catch a yellow dog toy. A white dog running after a yellow ball
102030371.jpg,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him. Guy in green shirt with hand covering part of his face in restaurant booth. Man sitting at a table at a restaurant with a glass of water. A man in a green sweater and black vest sitting in a booth. A boy in a green sweater is sitting at a table.
1020651753.jpg,A white dog is trying to catch a ball in midair over a grassy field. The white dog is playing in a green field with a yellow toy. A black and white dog jumping in the air to get a toy. A black and white dog jumps up towards a yellow toy. A dog leaps to catch a ball in a field.
1021293940.jpg,Two men are hiking in a forest where snow is partially covering the ground. Two men hiking in the snowy wilderness. Two hikers resting by a patch of snow. Two men look up while hiking. Two men hiking in the snow.
1021332107.jpg,"An elderly man with facial hair and glasses, standing in his living room holding a hutch cabinet with glass doors. An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet. A middle-aged man with a white beard and glasses holds up a small, wooden handmade cabinet. A man showing off his new wooden creation. A man with beard carrying a cabinet."
1021439420.jpg,"Two guys sitting on the floor, with the guy in the green jacket reading a piece of paper. A elderly father and his grown son are preparing for a camping trip in the wild. Two men sit on the floor with camping equipment. Two men sitting on their living floor. Two guys sorting through some items."
1021442086.jpg,"A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car. A bearded traveler in a red shirt sitting in a car and reading a map. A man wearing a baseball cap is sitting in a car looking at a map. A man in a red t-shirt is sitting in a car looking at a map. A man trying to decipher a map."
1022454332.jpg,"A large lake with a lone duck swimming in it with several people around the edge of it. A young boy waves his hand at the duck in the water surrounded by a green park. Two people are at the edge of a lake, facing the water and the city skyline. A child and a woman are at waters edge in a big city. A little boy at a lake watching a duck."
1022454428.jpg,"A couple and an infant, being held by the male, sitting next to a pond with a nearby stroller. A man and woman care for an infant along the side of a body of water. A couple with their newborn baby sitting under a tree facing a lake. Couple with a baby sit outdoors next to their stroller. A couple sit on the grass with a baby and stroller."
102268204.jpg,Three men are standing at night near a black car near a shelter filled with bicycles. Some men standing in front of a building next to a parked car. There are a lot of bikes parked under the curved roof tonight. Police questioning the driver of a black wagon at nighttime. Men under a dome beside a black station wagon.
1022975728.jpg,A black lab with tags frolicks in the water. This is a black dog splashing in the water. The black dog runs through the water. A black dog running in the surf. A dog splashes in the water
102351840.jpg,A man is drilling through the frozen ice of a pond. A person in the snow drilling a hole in the ice. A person standing on a frozen lake. A man drilling a hole in the ice. Two men are ice fishing.
1024138940.jpg,Two different breeds of brown and white dogs play on the beach. Two dogs are making a turn on a soft sand beach. Two large tan dogs play along a sandy beach. Two dogs playing in the sand at the beach. Two dogs playing together on a beach.
102455176.jpg,An ice climber in a blue jacket and black pants is scaling a frozen ice wall. A person in blue and red ice climbing with two picks. A man uses ice picks and crampons to scale ice. An ice climber scaling a frozen waterfall. Climber climbing an ice wall
1024613706.jpg,Two young men and a young lady walk through a field near the water. Three people walking through a beautiful meadow towards the ocean. Two men and a woman are walking through a field. Two males and one female walking on a path. Three people walking on a path in a meadow.
102520526.jpg,"A man in black attire shovels snow into the street, disregarding all public safety. Man in black jacket gray snow cap, shovels snow near a street with cars. A man shoveling snow off the roads and sidewalks in a city. A person is cleaning snow and ice off of a city sidewalk. A man shovels slush of the street."
102575576.jpg,A couple in their wedding attire stand behind a table with a wedding cake and flowers. A bride and groom are standing in front of their wedding cake at their reception. A bride and groom smile as they view their wedding cake at the reception. A couple stands behind their wedding cake. Man and woman cutting wedding cake.
102617084.jpg,"Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles; they are all wearing black snow pants and from left to right they are wearing a black coat, white coat, red coat, blue coat, and black coat. Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background. Five people wearing winter clothing, helmets, and ski goggles stand outside in the snow. A group of snowmobile riders gather in the snow. Group gathered to go snowmobiling."
1026685415.jpg,A black dog carries a green toy in his mouth as he walks through the grass. A wet black dog is carrying a green toy through the grass. A black dog carrying something through the grass. A dog in grass with a blue item in his mouth. A black dog has a blue toy in its mouth.
1026792563.jpg,A group of woman and children are standing or sitting in front of rows of vegetables. A group of women are trying to sell their vegetable harvest. People lay out vegetables on blankets at a street market. Villagers selling their crops at the market. These are some very large onions.
1027149103.jpg,A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm. In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt. A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening. A man in an orange shirt sings for the crowd below a sign that says Lucky 13. A punk rocker screaming on stage at concert.
1027211271.jpg,"A young woman with short blond-hair wearing jeans and a striped long-sleeved sweater jumping in midair on a skateboard with trees in the background. A young man is in midair while skateboarding at a skate park with people watching him in the background. This person is performing a trick in skateboarding competition, with people watching in the background. A boy jumps on his skateboard while a crowd watches Someone skateboarding at a skate park."
1028205764.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe. A man and a baby are in a yellow kayak on water. A man and child kayak through gentle waters. A man and young boy ride in a yellow kayak. Man and child in yellow kayak
102851549.jpg,"A little boy looks at the camera while a woman behind him seems to be laughing very hard and the woman on the right has a big smile on her face. Three people on a porch, of which is a little boy who is sitting up straight in his chair. A woman in a dark dress smiles while a woman across from her and a child sit in chairs. Two people are sitting on a bench, and one women is standing by them. Two women, boy sitting on porch, the ladies laughing hard."
102860573.jpg,A construction site on a street with three men working. Two men wearing hard hats are in a construction area. Two men in orange vests work in road construction. Construction workers installing a light post. Workers in orange vests work in a street.
10287332.jpg,"Two men sitting on the roof of a house while another one stands on a ladder. Two men on a rooftop while another man stands atop a ladder watching them Three men, one on a ladder, work on a roof. People are fixing the roof of a house. Three men are working on a roof."
1028982826.jpg,"Two men, one younger guy with a yellow shirt that has luggage and the other and older guy, are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses. A man in a yellow shirt, with a tall gray suitcase, sitting next to another man in a white shirt and gray pants, behind them a tall billboard for sunglasses and prescription glasses. Two men sitting on a bench talking, with a billboard advertisement for glasses in the background. Two men sitting on a bench in front of a sign with a picture of man and a lady. 2 men are sitting at a bench outside the airport in front of a billboard."
1029450589.jpg,An adult wearing a gray shirt with red sleeves sleeping on a couch. A woman in black pants napping on the couch. A man sleeping in a green room on a couch. The young woman is sleeping in her room. A long-haired man sleeping on a couch
1029737941.jpg,Boy in brown shirt with headphones on sits on woman's shoulders in a crowd. A kid wearing headphones sits on his mom's shoulders while in a crowd. A boy with headphones on sitting on top of a woman's shoulders. A child with headphones riding on his mother's shoulders. A boy wearing headphones sits on a woman's shoulders.
1029802110.jpg,"During a gay pride parade in an Asian city, some people hold up rainbow flags to show support. A group of youths march down the street waving flags showing the color spectrum. Oriental people with rainbow flags walking down a city street. A group of people walk down the street waving rainbow flags. People are outside waving flags."
102998070.jpg,"A young man in a blue sweater cleaning fish while three other men watch, one a man a cigarette, or match in his month. Three older men stare into the pan of a street vendor who is cooking fish. Three old men are watching another man prepare fish. A fish sellers stock is looked upon by two old men. Three men watch as fish is being prepared."
1030041880.jpg,"Woman in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared. A red-haired woman in a white top and green and white skirt is singing into a microphone. A woman in a white tank top with a green flowing skirt, on stage singing a song. A woman in a green skirt and white tank top singing into a microphone. A girl in a green skirt is singing Karaoke."
103031977.jpg,Four college-aged individuals - two males and two females - sitting on the concrete steps outside of a brick building Two guys and two girls sitting on the stairs outside of a building. Four people sit on the steps of the entrance to a building. Two men and two women sitting on steps outdoors. Multiple students sitting on stairs at a school.
1030985833.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway. A brown and black lab are outside and the black lab is catching a toy in its mouth. A black dog and a brown dog play with a red toy on a courtyard. A black dog and a brown dog are jumping up to catch a red toy. Black dog snaps at red and black object as brown dog lunges.
103106960.jpg,"A young male kneeling in front of a hockey goal with a hockey stick in his right hand. A child in a red jacket playing street hockey guarding a goal. Hockey goalie boy in red jacket crouches by goal, with stick. A boy with a stick kneeling in front of a goalie net A young kid playing the goalie in a hockey rink."
103195344.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading. A man in black is sitting next to a modern art structure in front of a glass building. A man sits and reads a newspaper by a sculpture outside of an office building. A man sitting in front of a metal sculpture in front of a building. A man sits near a large statue.
1031973097.jpg,"A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio. A young child wearing a blue shirt and red hat grabs onto black bars in front of him. The little boy looks like he is saying, let me out of jail. Toddler boy in a red hat holding on to some railings. Little boy wanting to play outside of fence."
103205630.jpg,"Two men, standing on an ice, looking into something covered with a blue tarp. Two men are about to enter an ice fishing tent on a snow covered lake. Two people standing outside a blue tent structure on a snowy surface. Two men setting up a blue ice fishing hut on an iced over lake A tent is being set up on the ice."
1032122270.jpg,Three dogs are standing in the grass and a person is sitting next to them Three dogs stand in a grassy field while a person kneels nearby. Three dogs are playing on grassy hill with a blue sky. A woman crouches near three dogs in a field. Three dogs on a grassy hill
1032460886.jpg,There is a skyscraper in the distance with a man walking in front of the camera. Behind the man in a red shirt stands a large skyscraper. A man stands in front of a very tall building. A man is standing in front of a skyscraper A man stands in front of a skyscraper.
103306033.jpg,A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller. Woman dressed in brown African attire pushing a toddler in a stroller. A woman is walking her baby with a stroller at the local park. The lady is pushing a child in a stroller. A woman pushes her baby in a stroller.
103328091.jpg,A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits. Man in red shirt is sitting next to fruit that is for sale. A man in a red shirt is sitting by fruit for sale. A man in a red shirt sits next to a fruit stand. An oriental man selling produce.
1033767085.jpg,A young child with a Band-Aid on his head sits eating at a small white table with a little girl eating off a yellow plate. A young blond-haired boy and a dark-haired girl are eating at a kid's table. Two children are sitting at a table eating food. Two children eating at a small table. Two children eating food.
1034276567.jpg,A small boy putting something in his mouth with both hands. A boy bites hard into a treat while he sits outside. The boy eats his food outside at the table. The boy is eating pizza over a tin dish. A child biting into a baked good.
1034985636.jpg,A man with wild hair rocks a show playing a guitar center stage. A man wearing black is playing an electric guitar at a concert. A man on stage playing the electric guitar during a concert. A man playing an electric guitar on stage. A man playing guitar at a concert.
1035019794.jpg,A person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence. A girl playing softball hits the ball almost directly downwards A young girl is playing baseball and is striking out. A girl hitting a softball but she missed the ball. The batter missed the ball.
10350842.jpg,A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake. A man wearing a life jacket is in a small boat on a lake with a ferry in view. A man wearing a red life-vest is sitting in a canoe on a body of water. A balding man wearing a red life jacket is sitting in a small boat. A man in a red life vest is riding in a canoe.
1035392784.jpg,"A man in black with long hair playing a guitar with stickers on it. A long-haired musician, playing his guitar in a performance. A rock artist performs on stage with an electric guitar. A man in a black shirt plays a black-colored guitar. A man wearing black is playing an electric guitar."
103625356.jpg,A man in a black shirt crouches next to a dirty unfinished concrete edge while several shovels and other tools lean against a tree nearby. A man in a baseball cap works to spread cement behind a line of yellow caution tape. A man in a black shirt and baseball cap is applying filler to a trench in the floor. A man wearing a black shirt smoothing out concrete in an urban area. A man is bent over smoothing cement in a sidewalk opening.
103631543.jpg,A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant. A woman in a white shirt is sitting at a table in a nice restaurant. A young woman sits at a dinner table with two entrees and a martini. A dark-haired young woman hesitates before dining. Woman having a fancy dinner.
